,,,,2,3,2,3,,,,,,,,,,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020 3:57,photo,Studying,positive,75,,,,,,,,,8/28/2020 3:57,August,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,8/25/2020 8:21,photo,Studying,positive,45,,,,,,,,,8/25/2020 8:21,August,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021 23:48,photo,Studying,negative,15,,,,,,,,,4/20/2021 23:48,April,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021 12:40,photo,Studying,positive,30,,,,,,,,,3/7/2021 12:40,March,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021 3:21,photo,Studying,neutral,20,,,,,,,,,5/24/2021 3:21,May,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021 11:03,photo,Studying,positive,75,,,,,,,,,1/24/2021 11:03,January,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021 2:46,photo,Studying,negative,0,,,,,,,,,4/9/2021 2:46,April,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021 3:43,photo,Studying,positive,75,,,,,,,,,2/2/2021 3:43,February,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021 3:06,photo,Studying,positive,30,,,,,,,,,2/4/2021 3:06,February,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020 2:49,photo,Studying,negative,10,,,,,,,,,11/9/2020 2:49,November,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020 16:00,photo,Studying,negative,15,,,,,,,,,9/29/2020 16:00,September,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/29/2020 21:33,photo,Studying,negative,10,,,,,,,,,11/29/2020 21:33,November,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021 7:54,photo,Studying,positive,70,,,,,,,,,2/13/2021 7:54,February,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020 5:28,photo,Studying,positive,30,,,,,,,,,7/14/2020 5:28,July,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020 10:30,photo,Studying,neutral,20,,,,,,,,,8/23/2020 10:30,August,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021 9:27,photo,Studying,negative,12,,,,,,,,,5/10/2021 9:27,May,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021 3:59,photo,Studying,negative,5,,,,,,,,,3/15/2021 3:59,March,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020 17:01,photo,healthy eating,negative,10,,,,,,,,,6/25/2020 17:01,June,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020 0:11,photo,healthy eating,positive,45,,,,,,,,,9/13/2020 0:11,September,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 18:17,photo,healthy eating,neutral,35,,,,,,,,,8/20/2020 18:17,August,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021 4:53,photo,healthy eating,negative,15,,,,,,,,,2/11/2021 4:53,February,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021 10:40,photo,healthy eating,negative,5,,,,,,,,,3/8/2021 10:40,March,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021 21:15,photo,healthy eating,negative,0,,,,,,,,,3/28/2021 21:15,March,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021 1:00,photo,healthy eating,negative,5,,,,,,,,,5/25/2021 1:00,May,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021 12:17,photo,healthy eating,positive,50,,,,,,,,,3/15/2021 12:17,March,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021 16:26,photo,healthy eating,positive,65,,,,,,,,,5/5/2021 16:26,May,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,8/31/2020 0:21,photo,healthy eating,positive,65,,,,,,,,,8/31/2020 0:21,August,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021 3:02,photo,healthy eating,positive,60,,,,,,,,,6/16/2021 3:02,June,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020 10:52,photo,healthy eating,neutral,20,,,,,,,,,7/7/2020 10:52,July,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 7:59,photo,healthy eating,neutral,35,,,,,,,,,8/20/2020 7:59,August,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020 11:15,photo,healthy eating,positive,65,,,,,,,,,9/23/2020 11:15,September,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021 5:56,photo,healthy eating,positive,50,,,,,,,,,3/24/2021 5:56,March,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020 19:13,photo,healthy eating,negative,5,,,,,,,,,12/7/2020 19:13,December,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020 16:41,photo,healthy eating,positive,75,,,,,,,,,8/3/2020 16:41,August,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,1/10/2021 15:36,photo,healthy eating,positive,72,,,,,,,,,1/10/2021 15:36,January,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,9/20/2020 8:48,photo,healthy eating,negative,15,,,,,,,,,9/20/2020 8:48,September,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,7/20/2020 14:06,photo,healthy eating,positive,70,,,,,,,,,7/20/2020 14:06,July,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/24/2020 12:15,photo,healthy eating,positive,72,,,,,,,,,10/24/2020 12:15,October,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021 1:27,photo,healthy eating,positive,30,,,,,,,,,6/6/2021 1:27,June,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,12/25/2020 0:09,photo,healthy eating,positive,60,,,,,,,,,12/25/2020 0:09,December,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/14/2021 7:56,photo,healthy eating,positive,50,,,,,,,,,6/14/2021 7:56,June,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/5/2021 18:00,photo,healthy eating,positive,50,,,,,,,,,6/5/2021 18:00,June,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,11/18/2020 23:37,photo,healthy eating,negative,5,,,,,,,,,11/18/2020 23:37,November,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,5/9/2021 2:42,photo,healthy eating,positive,30,,,,,,,,,5/9/2021 2:42,May,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,5/11/2021 8:38,photo,healthy eating,negative,10,,,,,,,,,5/11/2021 8:38,May,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,11/12/2020 8:00,photo,healthy eating,neutral,35,,,,,,,,,11/12/2020 8:00,November,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,6/21/2020 16:57,photo,healthy eating,positive,60,,,,,,,,,6/21/2020 16:57,June,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/4/2021 23:58,photo,healthy eating,positive,75,,,,,,,,,3/4/2021 23:58,March,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020 16:47,photo,healthy eating,positive,70,,,,,,,,,7/9/2020 16:47,July,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,8/1/2020 19:16,photo,healthy eating,negative,5,,,,,,,,,8/1/2020 19:16,August,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/23/2020 22:46,photo,healthy eating,negative,10,,,,,,,,,11/23/2020 22:46,November,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,12/11/2020 14:08,photo,healthy eating,negative,15,,,,,,,,,12/11/2020 14:08,December,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,4/23/2021 23:41,photo,healthy eating,negative,10,,,,,,,,,4/23/2021 23:41,April,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020 0:33,photo,healthy eating,positive,70,,,,,,,,,11/13/2020 0:33,November,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/9/2021 10:13,photo,healthy eating,positive,30,,,,,,,,,6/9/2021 10:13,June,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,10/29/2020 19:41,photo,healthy eating,positive,65,,,,,,,,,10/29/2020 19:41,October,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,5/14/2021 12:47,photo,healthy eating,positive,60,,,,,,,,,5/14/2021 12:47,May,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,8/4/2020 5:40,photo,healthy eating,negative,0,,,,,,,,,8/4/2020 5:40,August,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,8/7/2020 4:09,photo,healthy eating,positive,72,,,,,,,,,8/7/2020 4:09,August,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/23/2020 21:19,photo,healthy eating,positive,72,,,,,,,,,10/23/2020 21:19,October,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,11/14/2020 23:53,photo,healthy eating,positive,72,,,,,,,,,11/14/2020 23:53,November,,,
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,8/4/2020 19:26,photo,healthy eating,negative,12,,,,,,,,,8/4/2020 19:26,August,,,
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,11/12/2020 4:54,photo,healthy eating,positive,30,,,,,,,,,11/12/2020 4:54,November,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,4/3/2021 12:17,photo,technology,negative,12,,,,,,,,,4/3/2021 12:17,April,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,9/27/2020 22:15,photo,technology,positive,70,,,,,,,,,9/27/2020 22:15,September,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,10/27/2020 5:45,photo,technology,positive,60,,,,,,,,,10/27/2020 5:45,October,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,10/15/2020 9:11,photo,technology,negative,15,,,,,,,,,10/15/2020 9:11,October,,,
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,5/7/2021 9:16,photo,technology,positive,60,,,,,,,,,5/7/2021 9:16,May,,,
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,9/16/2020 8:39,photo,technology,negative,5,,,,,,,,,9/16/2020 8:39,September,,,
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,10/29/2020 15:38,photo,technology,neutral,20,,,,,,,,,10/29/2020 15:38,October,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,5/24/2021 18:03,video,food,negative,15,,,,,,,,,5/24/2021 18:03,May,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2/25/2021 20:02,GIF,cooking,positive,30,,,,,,,,,2/25/2021 20:02,February,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5/2/2021 3:45,GIF,cooking,negative,5,,,,,,,,,5/2/2021 3:45,May,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,1/28/2021 8:49,GIF,cooking,positive,70,,,,,,,,,1/28/2021 8:49,January,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2/15/2021 13:06,GIF,cooking,neutral,35,,,,,,,,,2/15/2021 13:06,February,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,11/4/2020 21:25,GIF,cooking,negative,10,,,,,,,,,11/4/2020 21:25,November,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,6/23/2020 22:12,GIF,cooking,positive,65,,,,,,,,,6/23/2020 22:12,June,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2/16/2021 4:01,GIF,cooking,positive,70,,,,,,,,,2/16/2021 4:01,February,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,1/3/2021 8:44,GIF,cooking,positive,30,,,,,,,,,1/3/2021 8:44,January,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,11/25/2020 12:45,GIF,cooking,positive,72,,,,,,,,,11/25/2020 12:45,November,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,12/3/2020 16:47,GIF,cooking,positive,50,,,,,,,,,12/3/2020 16:47,December,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,5/22/2021 21:03,GIF,cooking,positive,50,,,,,,,,,5/22/2021 21:03,May,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,1/18/2021 13:39,GIF,cooking,positive,70,,,,,,,,,1/18/2021 13:39,January,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,1/6/2021 0:35,GIF,cooking,neutral,20,,,,,,,,,1/6/2021 0:35,January,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/14/2021 14:33,GIF,cooking,positive,72,,,,,,,,,5/14/2021 14:33,May,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,5/27/2021 15:21,GIF,cooking,negative,12,,,,,,,,,5/27/2021 15:21,May,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,7/21/2020 2:12,GIF,cooking,neutral,35,,,,,,,,,7/21/2020 2:12,July,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,5/26/2021 6:09,GIF,cooking,negative,10,,,,,,,,,5/26/2021 6:09,May,,,
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2/25/2021 3:16,GIF,cooking,negative,10,,,,,,,,,2/25/2021 3:16,February,,,
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,12/7/2020 22:50,GIF,cooking,positive,45,,,,,,,,,12/7/2020 22:50,December,,,
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,10/24/2020 14:06,GIF,cooking,neutral,20,,,,,,,,,10/24/2020 14:06,October,,,
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,9/1/2020 21:18,GIF,cooking,neutral,35,,,,,,,,,9/1/2020 21:18,September,,,
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/10/2021 22:07,GIF,cooking,positive,72,,,,,,,,,5/10/2021 22:07,May,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2/12/2021 16:37,video,dogs,positive,70,,,,,,,,,2/12/2021 16:37,February,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,4/28/2021 15:22,video,dogs,positive,60,,,,,,,,,4/28/2021 15:22,April,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/24/2021 0:38,video,dogs,positive,45,,,,,,,,,1/24/2021 0:38,January,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,3/18/2021 1:53,video,dogs,negative,12,,,,,,,,,3/18/2021 1:53,March,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/14/2021 7:21,video,dogs,negative,0,,,,,,,,,1/14/2021 7:21,January,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,12/23/2020 4:11,video,dogs,positive,60,,,,,,,,,12/23/2020 4:11,December,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5/21/2021 7:23,video,dogs,negative,5,,,,,,,,,5/21/2021 7:23,May,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,3/28/2021 23:25,video,dogs,positive,50,,,,,,,,,3/28/2021 23:25,March,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,9/16/2020 7:33,video,dogs,neutral,35,,,,,,,,,9/16/2020 7:33,September,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,11/8/2020 10:53,video,dogs,neutral,20,,,,,,,,,11/8/2020 10:53,November,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/6/2021 5:23,video,dogs,positive,60,,,,,,,,,3/6/2021 5:23,March,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/13/2021 23:35,video,dogs,negative,0,,,,,,,,,1/13/2021 23:35,January,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,9/6/2020 22:35,video,dogs,positive,70,,,,,,,,,9/6/2020 22:35,September,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/24/2020 9:31,video,dogs,positive,30,,,,,,,,,6/24/2020 9:31,June,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2/7/2021 21:39,video,dogs,negative,5,,,,,,,,,2/7/2021 21:39,February,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/21/2021 18:28,video,dogs,positive,45,,,,,,,,,1/21/2021 18:28,January,,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2/27/2021 0:21,video,dogs,negative,10,,,,,,,,,2/27/2021 0:21,February,,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,8/22/2020 12:06,video,dogs,negative,12,,,,,,,,,8/22/2020 12:06,August,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,8/3/2020 6:29,video,dogs,positive,70,,,,,,,,,8/3/2020 6:29,August,,,
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,8/2/2020 6:20,video,dogs,negative,15,,,,,,,,,8/2/2020 6:20,August,,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,6/4/2021 4:57,video,dogs,positive,70,,,,,,,,,6/4/2021 4:57,June,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,10/21/2020 9:07,video,dogs,positive,75,,,,,,,,,10/21/2020 9:07,October,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,12/26/2020 19:46,video,dogs,negative,10,,,,,,,,,12/26/2020 19:46,December,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,3/2/2021 22:47,video,dogs,negative,15,,,,,,,,,3/2/2021 22:47,March,,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,3/31/2021 9:48,video,dogs,neutral,20,,,,,,,,,3/31/2021 9:48,March,,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/14/2021 13:44,video,dogs,positive,30,,,,,,,,,6/14/2021 13:44,June,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,12/27/2020 17:04,video,dogs,negative,15,,,,,,,,,12/27/2020 17:04,December,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2/11/2021 3:51,video,dogs,negative,15,,,,,,,,,2/11/2021 3:51,February,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/7/2020 19:07,video,dogs,positive,30,,,,,,,,,12/7/2020 19:07,December,,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/28/2020 8:31,video,dogs,positive,30,,,,,,,,,12/28/2020 8:31,December,,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/26/2020 5:27,video,dogs,positive,30,,,,,,,,,10/26/2020 5:27,October,,,
159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,9/26/2020 18:43,video,dogs,negative,12,,,,,,,,,9/26/2020 18:43,September,,,
160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11/25/2020 13:01,video,dogs,negative,15,,,,,,,,,11/25/2020 13:01,November,,,
161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,7/11/2020 5:51,video,dogs,positive,60,,,,,,,,,7/11/2020 5:51,July,,,
162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/19/2021 16:23,video,dogs,positive,60,,,,,,,,,3/19/2021 16:23,March,,,
163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/11/2020 18:31,video,dogs,positive,30,,,,,,,,,10/11/2020 18:31,October,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11/2/2020 20:15,video,dogs,positive,60,,,,,,,,,11/2/2020 20:15,November,,,
165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,10/1/2020 3:35,video,dogs,positive,70,,,,,,,,,10/1/2020 3:35,October,,,
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2/11/2021 20:10,video,dogs,negative,0,,,,,,,,,2/11/2021 20:10,February,,,
167,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2/7/2021 15:59,video,dogs,positive,70,,,,,,,,,2/7/2021 15:59,February,,,
168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,10/17/2020 11:46,video,dogs,negative,5,,,,,,,,,10/17/2020 11:46,October,,,
169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,8/9/2020 19:41,video,dogs,positive,50,,,,,,,,,8/9/2020 19:41,August,,,
170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,2/1/2021 2:40,video,dogs,positive,65,,,,,,,,,2/1/2021 2:40,February,,,
171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,1/30/2021 9:36,video,dogs,positive,72,,,,,,,,,1/30/2021 9:36,January,,,
173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,3/31/2021 15:24,video,technology,positive,70,,,,,,,,,3/31/2021 15:24,March,,,
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2/5/2021 17:00,video,technology,positive,75,,,,,,,,,2/5/2021 17:00,February,,,
175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2/19/2021 16:29,video,technology,positive,60,,,,,,,,,2/19/2021 16:29,February,,,
176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,7/25/2020 0:00,video,technology,negative,12,,,,,,,,,7/25/2020 0:00,July,,,
178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,7/13/2020 2:38,photo,soccer,positive,72,,,,,,,,,7/13/2020 2:38,July,,,
179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,1/13/2021 13:11,photo,soccer,neutral,20,,,,,,,,,1/13/2021 13:11,January,,,
